Date,Open,High,Low,Close,Adj Close,Volume
11/1/1998,19.5,24,19.03125,20.65625,20.65625,198451000
12/1/1998,20.65625,27.8125,20.625,25.28125,25.28125,208819400
1/1/1999,24.8125,39.4375,24.59375,39,39,210824200
2/1/1999,38.6875,40.28125,27.375,28.8125,28.8125,227369000
3/1/1999,28.8125,31.40625,22.625,24.09375,24.09375,289535000
4/1/1999,24.3125,27.3125,17.625,18.625,18.625,214998800
5/1/1999,18.75,20.75,17.125,18.9375,18.9375,124607600
6/1/1999,18.65625,23.9375,18,20.25,20.25,180733800
7/1/1999,20.4375,31.9375,20.3125,30.8125,30.8125,243808400
8/1/1999,31.1875,37.5,27.53125,37.4375,37.4375,243610600
9/1/1999,37.9375,42.5,33.25,33.25,33.25,333365200
10/1/1999,34.0625,39.9375,30.03125,35.65625,35.65625,336236200
11/1/1999,36.125,39.96875,31.5625,33.53125,33.53125,215691200
12/1/1999,33.5,44,29.25,39.0625,39.0625,250709800
1/1/2000,38.6875,39.1875,29.125,31.09375,31.09375,200590200
2/1/2000,31.0625,49.96875,30.25,48,48,255396600
3/1/2000,51,71.5625,45.59375,63,63,303746600
4/1/2000,62.875,71.125,46.15625,69.65625,69.65625,191983800
5/1/2000,70.25,72.75,51.0625,69.9375,69.9375,126188600
6/1/2000,72,94.5,71.5,88.0625,88.0625,167985600
7/1/2000,91,97.5,75.5625,81.5,81.5,119351000
8/1/2000,81.5,93.4375,73,81.5,81.5,142127600
9/1/2000,82.75,82.9375,44.5,46,46,255316100
10/1/2000,45.5,48,28,34.75,34.75,288380800
11/1/2000,33.875,42.5,28.9375,31.5,31.5,195383900
12/1/2000,31.75,37.875,29,35.5,35.5,154130600
1/1/2001,36.75,48.66,34.25,45.77,45.77,195376100
2/1/2001,45.57,46.75,33.75,34.220001,34.220001,177916800
3/1/2001,34.150002,49.610001,32.75,41.529999,41.529999,250270200
4/1/2001,41,49.5,33.73,45.380001,45.380001,219829300
5/1/2001,45.009998,45.009998,35.700001,37.5,37.5,173757600
6/1/2001,37.5,44.970001,35.799999,41.099998,41.099998,147413700
7/1/2001,41.450001,43.419998,35.959999,42,42,168453600
8/1/2001,43.299999,44.990002,35.139999,37.610001,37.610001,148865800
9/1/2001,37.099998,37.650002,16.389999,18.83,18.83,159620100
10/1/2001,18.4,25.5,17.200001,22.76,22.76,163951300
11/1/2001,23.4,30.99,22.35,27.16,27.16,178538300
12/1/2001,28.5,34.490002,28.1,31,31,144481100
1/1/2002,32.849998,37,29.51,33.75,33.75,169653300
2/1/2002,35,39.450001,32.139999,32.150002,32.150002,162690400
3/1/2002,33,39.5,32,32.900002,32.900002,191945800
4/1/2002,32.900002,34,23.5,23.700001,23.700001,217530800
5/1/2002,24.25,26.709999,22.15,23.58,23.58,173903700
6/1/2002,23.5,24.299999,16,20.219999,20.219999,177238600
7/1/2002,20.42,25.139999,18.25,19.49,19.49,189507200
8/1/2002,19.299999,22.67,16.120001,17.25,17.25,157377200
9/1/2002,17,19.75,12.1,12.37,12.37,161514300
10/1/2002,12.7,18,11.36,16,16,221021600
11/1/2002,16.1,17.98,12.57,15.81,15.81,207338800
12/1/2002,16.5,16.700001,9.5,9.74,9.74,217497400
1/1/2003,9.75,11.1,7.67,8.21,8.21,228545200
2/1/2003,8.21,8.49,6.6,7.99,7.99,165019300
3/1/2003,8.01,9.1,7.26,8.14,8.14,204684700
4/1/2003,8.18,9.65,8,8.5,8.5,150864200
5/1/2003,8.49,11.6,8.15,11.32,11.32,230226600
6/1/2003,11.61,13.9,10.36,11.75,11.75,245772300
7/1/2003,11.58,15.66,11.32,14.64,14.64,267028800
8/1/2003,14.8,15.31,12.34,14.36,14.36,235361400
9/1/2003,14.5,15.25,12.95,13.42,13.42,307122900
10/1/2003,13.42,15.1,12.23,14.34,14.34,338744500
11/1/2003,14.55,14.86,12.43,13.01,13.01,187136300
12/1/2003,13.2,14,11.28,13.47,13.47,244007800
1/1/2004,13.72,17.08,13.64,16.110001,16.110001,250786200
2/1/2004,16.360001,16.870001,14.81,15.04,15.04,169199400
3/1/2004,15.18,17.040001,14.24,16.709999,16.709999,243398100
4/1/2004,16.709999,18.25,13.42,13.62,13.62,257658800
5/1/2004,13.71,15.2,13.18,15.03,15.03,177630800
6/1/2004,14.91,15.39,13.3,15.31,15.31,189709500
7/1/2004,15.3,15.3,12.56,13.53,13.53,161526500
8/1/2004,13.49,13.49,10.89,11.51,11.51,172046800
9/1/2004,11.57,12.97,11,12.03,12.03,167257600
10/1/2004,12.18,12.82,11.15,12.18,12.18,166658000
11/1/2004,12.18,12.61,11.07,11.08,11.08,168517100
12/1/2004,11.12,12.43,10.95,12.35,12.35,176605700
1/1/2005,12.38,12.44,10.05,10.41,10.41,139869700
2/1/2005,10.59,12.15,10.51,11.5,11.5,125688700
3/1/2005,11.62,11.62,10.04,10.34,10.34,194779400
4/1/2005,10.44,10.44,9.32,9.71,9.71,122263400
5/1/2005,9.72,11.15,9.5,10.98,10.98,126775000
6/1/2005,10.99,11.17,10.15,10.21,10.21,124672500
7/1/2005,10.16,12.41,10.1,11.88,11.88,151495800
