Date,Open,High,Low,Close,Adj Close,Volume
11/1/1998,110.8125,119.718697,110.1875,116.125,80.676285,136369000
12/1/1998,116.125,124.75,113.75,123.3125,85.669701,156026700
1/1/1999,123.375,128.5,120.375,127.656197,88.982018,141419000
2/1/1999,128.6875,128.843704,121.328102,123.5625,86.128532,164624900
3/1/1999,123.656197,132.625,121.781197,128.375,89.483086,148191100
4/1/1999,129.6875,137.5,128.125,133.25,93.106476,156755700
5/1/1999,133.4375,138,128,130.203094,90.977455,182566900
6/1/1999,130.125,137.5,128.015594,137,95.7267,160692200
7/1/1999,137,142.25,132.5625,132.75,93.037102,115669100
8/1/1999,132.75,138.781204,127,132.0625,92.555229,142925900
9/1/1999,132.9375,136.625,125.5625,128.75,90.233704,167972700
10/1/1999,127.9375,137.6875,123.4375,137,96.286133,196829400
11/1/1999,136.5,143,134.593704,139.281204,97.88942,125042200
12/1/1999,139.3125,147.5625,139,146.875,103.226448,121529300
1/1/2000,148.25,148.25,135,139.5625,98.327835,156770800
2/1/2000,139.75,144.5625,132.718704,137.4375,96.830711,186938300
3/1/2000,137.625,155.75,135.031204,150.375,105.945724,247594900
4/1/2000,150.125,153.109299,133.5,145.093704,102.484612,229246200
5/1/2000,146.5625,148.484299,136.5,142.8125,100.873352,161024000
6/1/2000,143.6875,149.156204,143,145.281204,102.617081,127146000
7/1/2000,145.4375,151.984299,141.515594,143,101.243614,106780100
8/1/2000,143.625,153.093704,142.625,152.343704,107.858856,102365500
9/1/2000,153.25,153.593704,142.125,143.625,101.686096,113203000
10/1/2000,144.281204,145.75,130.156204,142.953094,101.464661,178392400
11/1/2000,142.25,144.296799,129.75,132.281204,93.890007,156699900
12/1/2000,133.1875,139.5625,125.531197,131.1875,93.113739,165416700
1/1/2001,132,138.699997,127.5625,137.020004,97.551788,181296400
2/1/2001,137.100006,137.990005,121.800003,123.949997,88.246567,178607000
3/1/2001,124.050003,127.75,108.040001,116.690002,83.077805,318187200
4/1/2001,116.300003,127.269997,109.300003,126.660004,90.418777,251839700
5/1/2001,125.07,132.089996,123.440002,125.949997,89.911926,208040000
6/1/2001,126.199997,129.229996,120.400002,122.599998,87.520416,203578200
7/1/2001,122.800003,124.32,116.75,121.349998,86.874504,196892900
8/1/2001,121.970001,123.25,112.040001,114.150002,81.720024,269599600
9/1/2001,113.849998,116.169998,93.800003,104.440002,74.768631,419156100
10/1/2001,103.900002,111.790001,102.830002,105.800003,76.026451,512612000
11/1/2001,106.599998,116.900002,105.699997,114.050003,81.954765,372515000
12/1/2001,113.650002,118,112,114.300003,82.13443,308403900
1/1/2002,115.110001,117.989998,108.400002,113.18,81.609367,349380000
2/1/2002,113.089996,113.300003,107.82,111.150002,80.145599,424492600
3/1/2002,111.720001,117.900002,111.510002,114.519997,82.575523,385578100
4/1/2002,114.230003,115.099998,106.629997,107.860001,77.996124,404461000
5/1/2002,107.970001,111.25,104.900002,107.220001,77.533325,452626500
6/1/2002,107.089996,107.599998,95.190002,98.959999,71.560318,534883500
7/1/2002,99.18,99.800003,77.68,91.160004,66.150673,1124248800
8/1/2002,90.879997,97.150002,83.550003,91.779999,66.600563,936191200
9/1/2002,90.730003,93.330002,80.900002,81.790001,59.351307,1013828600
10/1/2002,82.43,91.290001,77.07,88.519997,64.522888,1344248100
11/1/2002,88.349998,94.949997,87.449997,93.980003,68.502739,818243400
12/1/2002,95.470001,96.050003,87.110001,88.230003,64.311516,728285900
1/1/2003,88.849998,93.860001,84.150002,86.059998,63.038017,911319900
2/1/2003,86.139999,86.809998,81,84.900002,62.188362,862248300
3/1/2003,85.260002,89.879997,79.379997,84.739998,62.071156,1156870200
4/1/2003,85.25,92.800003,84.910004,91.910004,67.594574,996114200
5/1/2003,91.919998,97.089996,90.5,96.949997,71.301193,881509900
6/1/2003,97.529999,102.18,96.669998,97.629997,71.801285,867970200
7/1/2003,97.25,101.900002,96.43,99.389999,73.359703,895260500
8/1/2003,99.190002,101.82,96.339996,101.440002,74.872803,772702000
9/1/2003,101.639999,104.699997,99.25,99.949997,73.773056,818513400
10/1/2003,100.239998,105.970001,100.199997,105.300003,78.020218,831700900
11/1/2003,105.75,106.949997,103.620003,106.449997,78.872292,630654200
12/1/2003,106.849998,111.519997,105.959999,111.279999,82.451012,678350400
1/1/2004,111.739998,116.5,110.730003,113.480003,84.478371,737674000
2/1/2004,113.699997,116.599998,112.779999,115.019997,85.624771,676976900
3/1/2004,115.43,116.970001,108.849998,113.099998,84.195473,1125003900
4/1/2004,113.07,115.410004,110.900002,110.959999,82.891983,968620900
5/1/2004,111.370003,113.260002,108.059998,112.860001,84.31134,981083900
6/1/2004,112.459999,114.940002,111.870003,114.529999,85.558914,721880400
7/1/2004,114.25,114.400002,108.209999,110.839996,83.104576,954619200
8/1/2004,110.190002,111.629997,106.589996,111.110001,83.306999,922892000
9/1/2004,110.949997,113.739998,110.410004,111.760002,83.79438,790891900
10/1/2004,112.260002,114.68,109.349998,113.199997,85.227333,1044071300
11/1/2004,113.559998,119.139999,113.199997,117.889999,88.758392,961601700
12/1/2004,118.160004,121.660004,117.730003,120.870003,91.271713,909170200
1/1/2005,121.559998,121.760002,116.370003,118.160004,89.646797,1184211500
2/1/2005,118.25,121.669998,118.099998,120.629997,91.52076,1025608400
3/1/2005,120.82,123.25,116.25,117.959999,89.495064,1330548800
4/1/2005,118.629997,119.260002,113.550003,115.75,88.163277,1633318500
5/1/2005,116.07,120.25,114.800003,119.480003,91.004311,1334647300
6/1/2005,119.519997,121.940002,118.75,119.18,90.775826,1089322900
7/1/2005,119.449997,124.639999,118.260002,123.739998,94.629433,1176306400
8/1/2005,123.830002,124.739998,120.379997,122.580002,93.74234,1306564800
9/1/2005,122.519997,124.739998,120.440002,123.040001,94.094109,1287005000
10/1/2005,122.959999,123.339996,116.879997,120.129997,92.259758,1784566400
11/1/2005,120.580002,127.410004,120.129997,125.410004,96.314835,1183732800
12/1/2005,126.019997,128.089996,124.360001,124.510002,95.623589,1073146800
1/1/2006,125.190002,129.440002,124.389999,127.5,98.439011,1233910800
2/1/2006,127.82,130.039993,125.400002,128.229996,99.002602,1145244400
3/1/2006,128.600006,131.470001,127.18,129.830002,100.23793,1350777100
4/1/2006,130.070007,131.860001,128.020004,131.470001,101.907738,1300327900
5/1/2006,131.470001,132.800003,124.760002,127.510002,98.838203,1752747100
6/1/2006,127.379997,129.429993,122.339996,127.279999,98.659943,2163829300
7/1/2006,127.43,128.139999,122.389999,127.849998,99.539795,1691301400
8/1/2006,127.339996,131.039993,126.279999,130.639999,101.711967,1420345400
9/1/2006,131.139999,133.990005,129.350006,133.580002,104.000954,1363687900
10/1/2006,133.539993,139,132.649994,137.789993,107.750542,1443344100
11/1/2006,138.220001,141.160004,135.619995,140.529999,109.893173,1502059900
12/1/2006,140.529999,143.240005,138.970001,141.619995,110.745567,1212756800
1/1/2007,142.25,144.130005,140.25,143.75,113.037529,1330329900
2/1/2007,144.149994,146.419998,139,140.929993,110.82,1494548900
3/1/2007,139.339996,143.809998,136.75,142,111.661385,2918304400
4/1/2007,142.160004,149.800003,141.479996,148.289993,117.070038,1791289900
5/1/2007,148.419998,153.889999,147.669998,153.320007,121.041092,2508178000
6/1/2007,153.880005,154.399994,148.059998,150.429993,118.759483,3502885400
7/1/2007,150.869995,155.529999,145.039993,145.720001,115.536957,3988676200
