Date,Open,High,Low,Close,Adj Close,Volume
11/1/2008,178.968964,186.366364,123.773773,146.626633,146.626633,315749100
12/1/2008,143.48349,164.914917,131.421417,153.978973,153.978973,225787700
1/1/2009,154.454453,176.341339,141.51651,169.434433,169.434433,219542700
2/1/2009,167.312317,190.690689,164.939941,169.164169,169.164169,222946400
3/1/2009,166.831833,179.759766,144.869873,174.204208,174.204208,227721500
4/1/2009,172.062057,202.077072,170.475479,198.183182,198.183182,175489100
5/1/2009,197.712708,208.823822,192.537537,208.823822,208.823822,113955500
6/1/2009,209.57457,223.89389,201.146149,211.006012,211.006012,140780100
7/1/2009,212.312317,226.576584,198.188187,221.74675,221.74675,145887200
8/1/2009,224.594589,237.412415,219.499496,231.066071,231.066071,97378800
9/1/2009,230.070068,253.753754,226.521515,248.173172,248.173172,102056300
10/1/2009,246.74675,281.101105,241.541534,268.328339,268.328339,154193500
11/1/2009,268.808807,293.823822,264.384399,291.791779,291.791779,81729700
12/1/2009,294.359344,313.308319,289.879883,310.300293,310.300293,85154200
1/1/2010,313.788788,315.070068,263.068054,265.235229,265.235229,178021600
2/1/2010,267.567566,274.024017,260.260254,263.663666,263.663666,103963600
3/1/2010,264.864868,294.434448,264.134125,283.843842,283.843842,167380600
4/1/2010,285.960968,299.219208,260.775787,263.113098,263.113098,145974700
5/1/2010,263.513519,266.726715,230.230225,243.05806,243.05806,162958300
6/1/2010,240.45546,254.879883,222.582581,222.697693,222.697693,119605600
7/1/2010,222.867874,248.998993,217.032028,242.667664,242.667664,138480300
8/1/2010,244.739746,254.55455,224.049042,225.235229,225.235229,105603500
9/1/2010,227.717712,268.693695,226.476471,263.158173,263.158173,119281400
10/1/2010,265.265259,312.682678,259.684692,307.157166,307.157166,158536000
11/1/2010,308.173187,315.740753,276.931946,278.133148,278.133148,116766000
12/1/2010,281.781769,303.803802,281.481476,297.282288,297.282288,84484800
1/1/2011,298.538544,321.801788,298.073059,300.480469,300.480469,119847800
2/1/2011,302.547546,315.905914,300.975983,307.007019,307.007019,83653600
3/1/2011,309.199188,309.919922,275.915924,293.673676,293.673676,120156600
4/1/2011,294.674683,297.892883,259.759766,272.322327,272.322327,140342000
5/1/2011,273.123108,273.138153,256.95697,264.77478,264.77478,90564200
6/1/2011,264.284271,266.866852,236.74675,253.443451,253.443451,118130800
7/1/2011,253.623627,314.064056,253.443451,302.147156,302.147156,161948200
8/1/2011,305.915924,308.058044,245.675674,270.750763,270.750763,213336700
9/1/2011,270.64566,279.539551,255.505508,257.777771,257.777771,117140800
10/1/2011,255.180176,301.651642,240.540543,296.616608,296.616608,154275400
11/1/2011,290.340332,309.459473,280.945953,299.994995,299.994995,120479300
12/1/2011,300.300293,323.703705,299.799805,323.273285,323.273285,109983800
1/1/2012,326.796783,335.460449,282.557556,290.345337,290.345337,147136900
2/1/2012,292.762756,313.113098,289.859863,309.434448,309.434448,94633500
3/1/2012,311.441437,329.624634,297.217224,320.940948,320.940948,94564700
4/1/2012,320.705719,326.896912,295.395386,302.727722,302.727722,117636800
5/1/2012,302.197205,319.244232,289.789795,290.720734,290.720734,117228000
6/1/2012,286.181183,294.239227,278.538544,290.325317,290.325317,92914500
7/1/2012,291.201202,321.621613,281.326324,316.801788,316.801788,102469600
8/1/2012,318.968964,344.839844,312.017029,342.887878,342.887878,94031300
9/1/2012,342.617615,382.82782,337.087097,377.627625,377.627625,120233800
10/1/2012,379.904907,387.577576,335.185181,340.490479,340.490479,143452800
11/1/2012,340.090088,349.959961,318.318329,349.534546,349.534546,93264000
12/1/2012,351.471466,364.914917,341.5065,354.044037,354.044037,83306700
1/1/2013,360.070068,380.855865,348.108093,378.223236,378.223236,104704600
2/1/2013,379.479492,404.889893,379.429443,401.001007,401.001007,92587100
3/1/2013,399.299286,422.422424,397.047058,397.492493,397.492493,85011800
4/1/2013,397.902893,414.234222,381.011017,412.697693,412.697693,106996300
5/1/2013,412.042053,460.760773,408.588593,436.046051,436.046051,98734600
6/1/2013,436.936951,455.875885,424.034027,440.625641,440.625641,97063000
7/1/2013,443.668671,464.464478,438.243256,444.319305,444.319305,102387300
8/1/2013,447.947937,455.310303,423.203217,423.873871,423.873871,66906000
9/1/2013,427.607605,453.448456,427.402405,438.393402,438.393402,66180000
10/1/2013,440.565552,521.281311,421.911926,515.805786,515.805786,110337300
11/1/2013,516.411438,534.534546,503.002991,530.325317,530.325317,52459700
12/1/2013,532.287292,561.061035,525.035034,560.915894,560.915894,67617600
1/1/2014,558.288269,593.863892,541.676697,591.07605,591.07605,108913300
2/1/2014,590.190186,615.055054,564.574585,608.433411,608.433411,81010500
3/1/2014,603.979004,614.109131,551.601624,557.812805,557.812805,87224100
4/1/2014,560.695679,588.299988,511,534.880005,534.880005,71064200
5/1/2014,534.25,577.659973,511.089996,571.650024,571.650024,41456800
6/1/2014,569.75,589.599976,547.469971,584.669983,584.669983,39489200
7/1/2014,587.650024,608.909973,572.099976,579.549988,579.549988,38583300
8/1/2014,578.549988,597.809998,567.450012,582.359985,582.359985,29078700
9/1/2014,582.950012,605.400024,577.01001,588.409973,588.409973,35425100
10/1/2014,586.799988,592.400024,518.409973,567.869995,567.869995,55481600
11/1/2014,563.530029,567.150024,539.190002,549.080017,549.080017,29770500
12/1/2014,545.090027,548.789978,497.190002,530.659973,530.659973,54434300
1/1/2015,532.599976,545.409973,490.910004,537.549988,537.549988,52833100
2/1/2015,534.320007,569.419983,521.719971,562.630005,562.630005,40279000
3/1/2015,567,583.200012,550.330017,554.700012,554.700012,43111000
4/1/2015,554.830017,584.700012,529,548.77002,548.77002,43726200
5/1/2015,550.51001,558.23999,532.23999,545.320007,545.320007,32316300
6/1/2015,548.72998,565.609985,538.849976,540.039978,540.039978,35210300
7/1/2015,543.659973,713.330017,539.76001,657.5,657.5,68542900
8/1/2015,657.659973,704,593.090027,647.820007,647.820007,55075400
9/1/2015,633.809998,681.98999,617.840027,638.369995,638.369995,43501600
10/1/2015,637.940002,752.5,631.119995,737.390015,737.390015,50252700
11/1/2015,734.530029,782.900024,731.450012,762.849976,762.849976,37565500
12/1/2015,766.940002,798.690002,736.26001,778.01001,778.01001,43620900
1/1/2016,762.200012,769.200012,687.780029,761.349976,761.349976,51988400
2/1/2016,771.26001,810.349976,682.01001,717.219971,717.219971,67590200
3/1/2016,721.299988,777.309998,704,762.900024,762.900024,42646200
4/1/2016,757.159973,790.950012,703.200012,707.880005,707.880005,46641200
5/1/2016,711.919983,753.47998,704.049988,748.849976,748.849976,33930900
6/1/2016,748.469971,751.369995,672.659973,703.530029,703.530029,41964400
7/1/2016,705.099976,803.940002,699,791.340027,791.340027,32628700
8/1/2016,786.669983,813.880005,785.039978,789.849976,789.849976,28844600
9/1/2016,791.97998,819.059998,783.5,804.059998,804.059998,31539500
10/1/2016,802.549988,839,796.22998,809.900024,809.900024,35367800
11/1/2016,810.869995,816.039978,743.590027,775.880005,775.880005,48316100
12/1/2016,778.549988,824.299988,753.359985,809.450012,809.450012,37850700
1/1/2017,800.619995,867,796.890015,820.190002,820.190002,36829400
2/1/2017,824,853.789978,812.049988,844.929993,844.929993,26423800
3/1/2017,851.380005,874.419983,824.299988,847.799988,847.799988,34550100
4/1/2017,848.75,935.900024,834.599976,924.52002,924.52002,28673500
5/1/2017,924.150024,999.599976,920.799988,987.090027,987.090027,35359300
6/1/2017,990.960022,1008.609985,929.599976,929.679993,929.679993,44077300
7/1/2017,933.219971,1006.190002,915.309998,945.5,945.5,41908600
8/1/2017,947.809998,957.200012,918.599976,955.23999,955.23999,32844100
9/1/2017,957.469971,975.809998,924.51001,973.719971,973.719971,29626200
10/1/2017,975.650024,1063.619995,961.950012,1033.040039,1033.040039,36853800
11/1/2017,1036.319946,1080,1028.660034,1036.170044,1036.170044,28686000
12/1/2017,1030.410034,1086.48999,1002.320007,1053.400024,1053.400024,29940500
1/1/2018,1053.02002,1198,1053.02002,1182.219971,1182.219971,32882300
2/1/2018,1175.98999,1187.449951,997,1103.920044,1103.920044,51340700
3/1/2018,1109.540039,1178.160034,984,1037.140015,1037.140015,52116800
4/1/2018,1027.619995,1097.51001,994.25,1018.580017,1018.580017,49246400
5/1/2018,1016.299988,1118.150024,1007.890015,1100,1100,36987300
6/1/2018,1112.869995,1201.48999,1106.069946,1129.189941,1129.189941,40170700
7/1/2018,1115.349976,1291.439941,1106.599976,1227.219971,1227.219971,41782700
8/1/2018,1239.109985,1271.959961,1204,1231.800049,1231.800049,34285300
9/1/2018,1222.52002,1227.869995,1151.5,1207.079956,1207.079956,35925900
10/1/2018,1213,1224.52002,1199.660034,1211.530029,1211.530029,4979500
