,close_price,high_price,low_price,open_price,time,volume
0,227.9900,228.0500,227.6300,227.6600,2018-10-04 15:59:00,423578
1,227.6700,227.8875,227.6300,227.7918,2018-10-04 15:58:00,182325
2,227.7900,227.9200,227.7000,227.8100,2018-10-04 15:57:00,157732
3,227.8044,228.0900,227.7900,228.0900,2018-10-04 15:56:00,134312
4,228.0900,228.4600,228.0600,228.4250,2018-10-04 15:55:00,109880
5,228.4300,228.4750,228.3000,228.3200,2018-10-04 15:54:00,76682
6,228.3150,228.3400,228.1700,228.2000,2018-10-04 15:53:00,70610
7,228.2000,228.3000,228.1100,228.1100,2018-10-04 15:52:00,79342
8,228.0700,228.3800,228.0700,228.3600,2018-10-04 15:51:00,0
9,228.3400,228.6200,228.2900,228.4500,2018-10-04 15:50:00,128685
10,228.4400,228.5399,228.3830,228.4800,2018-10-04 15:49:00,97586
11,228.5000,228.5850,228.3200,228.3200,2018-10-04 15:48:00,134299
12,228.3800,228.4800,228.1690,228.1706,2018-10-04 15:47:00,166425
13,228.1800,228.2800,228.1600,228.1600,2018-10-04 15:46:00,109123
14,228.1700,228.1702,227.8200,227.8200,2018-10-04 15:45:00,144343
15,227.8250,227.8300,227.6700,227.7200,2018-10-04 15:44:00,49869
16,227.7300,227.8500,227.6600,227.8300,2018-10-04 15:43:00,40627
17,227.8000,227.8500,227.7100,227.7100,2018-10-04 15:42:00,59044
18,227.7200,227.7200,227.7200,227.7200,2018-10-04 15:41:00,85866
19,227.5498,227.5498,227.4400,227.4800,2018-10-04 15:40:00,62695
20,227.5100,227.5200,227.4000,227.4000,2018-10-04 15:39:00,48257
21,227.4197,227.5900,227.4010,227.5500,2018-10-04 15:38:00,43101
22,227.5100,227.6050,227.4900,227.5800,2018-10-04 15:37:00,53149
23,227.6300,227.6400,227.5300,227.5300,2018-10-04 15:36:00,33888
24,227.6099,227.6800,227.5200,227.6600,2018-10-04 15:35:00,61338
25,227.6600,227.6600,227.6600,227.6600,2018-10-04 15:34:00,49858
26,227.7800,227.9400,227.7800,227.9300,2018-10-04 15:33:00,51719
27,227.9200,228.0000,227.9150,227.9300,2018-10-04 15:32:00,35449
28,227.9100,227.9200,227.8300,227.8600,2018-10-04 15:31:00,30301
29,227.8755,227.9200,227.7700,227.8300,2018-10-04 15:30:00,37977
30,227.8530,228.0300,227.8500,228.0000,2018-10-04 15:29:00,25843
31,228.0000,228.1600,228.0000,228.1600,2018-10-04 15:28:00,58933
32,228.1400,228.1600,228.0000,228.0200,2018-10-04 15:27:00,42653
33,227.9900,228.0700,227.9800,228.0657,2018-10-04 15:26:00,35121
34,228.0500,228.0500,227.9100,227.9200,2018-10-04 15:25:00,27915
35,227.9300,227.9300,227.9300,227.9300,2018-10-04 15:24:00,35416
36,227.8200,227.9500,227.7768,227.8800,2018-10-04 15:23:00,41834
37,227.8976,228.0400,227.8900,227.9500,2018-10-04 15:22:00,48969
38,227.9300,228.0600,227.9100,228.0000,2018-10-04 15:21:00,50843
39,228.0100,228.1600,227.9800,228.1300,2018-10-04 15:20:00,36797
40,228.1600,228.1900,228.0800,228.0929,2018-10-04 15:19:00,21569
41,228.1100,228.1497,227.9400,227.9400,2018-10-04 15:18:00,31243
42,227.9300,228.1600,227.9300,228.0100,2018-10-04 15:17:00,48135
43,227.9800,228.0423,227.9800,228.0300,2018-10-04 15:16:00,38342
44,228.0300,228.1100,228.0300,228.0900,2018-10-04 15:15:00,39130
45,228.0400,228.1450,228.0400,228.1400,2018-10-04 15:14:00,44064
46,228.1600,228.2100,228.1350,228.1350,2018-10-04 15:13:00,24043
47,228.1200,228.1700,228.0650,228.0800,2018-10-04 15:12:00,47351
48,228.0700,228.0700,228.0700,228.0700,2018-10-04 15:11:00,46560
49,228.1900,228.3900,228.1790,228.3100,2018-10-04 15:10:00,42406
50,228.3100,228.3800,228.2900,228.3300,2018-10-04 15:09:00,39909
51,228.3400,228.3800,228.1600,228.1600,2018-10-04 15:08:00,32480
52,228.1700,228.5000,228.1700,228.3300,2018-10-04 15:07:00,64251
53,228.3200,228.3200,228.3200,228.3200,2018-10-04 15:06:00,59523
54,228.3500,228.3800,228.2403,228.2403,2018-10-04 15:05:00,35736
55,228.2200,228.2700,228.1405,228.1500,2018-10-04 15:04:00,25096
56,228.1930,228.2100,228.0774,228.1800,2018-10-04 15:03:00,28489
57,228.2400,228.2600,228.1300,228.1300,2018-10-04 15:02:00,40266
58,228.0950,228.2100,228.0950,228.1800,2018-10-04 15:01:00,35263
59,228.2062,228.3600,228.1900,228.2700,2018-10-04 15:00:00,26951
60,228.3091,228.3800,228.2200,228.2200,2018-10-04 14:59:00,34323
61,228.2000,228.2500,228.1700,228.2400,2018-10-04 14:58:00,27589
62,228.1800,228.1800,228.0600,228.1500,2018-10-04 14:57:00,37798
63,228.1300,228.2500,228.0810,228.2365,2018-10-04 14:56:00,53438
64,228.3300,228.4800,228.2200,228.3800,2018-10-04 14:55:00,54380
65,228.3366,228.3366,228.1445,228.1445,2018-10-04 14:54:00,57076
66,228.0600,228.1400,227.8946,227.9675,2018-10-04 14:53:00,66960
67,227.9809,228.2000,227.9700,228.1400,2018-10-04 14:52:00,55729
68,228.1200,228.1200,228.1200,228.1200,2018-10-04 14:51:00,86186
69,227.8800,227.9600,227.7200,227.8400,2018-10-04 14:50:00,42746
70,227.8300,227.9000,227.6600,227.6700,2018-10-04 14:49:00,27149
71,227.6400,227.7358,227.5752,227.6100,2018-10-04 14:48:00,39938
72,227.5700,227.8200,227.5700,227.7300,2018-10-04 14:47:00,55338
73,227.7500,228.0700,227.7500,227.8000,2018-10-04 14:46:00,73341
74,227.7500,227.7600,227.6300,227.6800,2018-10-04 14:45:00,33972
75,227.7400,227.7400,227.6200,227.6600,2018-10-04 14:44:00,344138
76,227.6500,227.9400,227.5500,227.9400,2018-10-04 14:43:00,63966
77,227.9950,228.1200,227.9000,227.9200,2018-10-04 14:42:00,38001
78,228.0000,228.0700,227.9500,228.0621,2018-10-04 14:41:00,52528
79,228.0600,228.2700,227.9400,228.2300,2018-10-04 14:40:00,88935
80,228.2200,228.3500,228.2000,228.2000,2018-10-04 14:39:00,43542
81,228.1800,228.2500,228.0400,228.0400,2018-10-04 14:38:00,78764
82,228.0300,228.2000,227.9300,227.9333,2018-10-04 14:37:00,125894
83,227.9100,227.9290,227.6400,227.6500,2018-10-04 14:36:00,83996
84,227.6950,227.7100,227.5700,227.7100,2018-10-04 14:35:00,34868
85,227.7000,227.7000,227.5525,227.5880,2018-10-04 14:34:00,33940
86,227.6058,227.6400,227.5100,227.6200,2018-10-04 14:33:00,26636
87,227.6350,227.7250,227.5700,227.6250,2018-10-04 14:32:00,56128
88,227.6400,227.6500,227.5100,227.5343,2018-10-04 14:31:00,53991
89,227.5500,227.6200,227.3800,227.4900,2018-10-04 14:30:00,44508
90,227.5412,227.5700,227.2600,227.3400,2018-10-04 14:29:00,65032
91,227.3500,227.4200,227.3300,227.3600,2018-10-04 14:28:00,33407
92,227.3101,227.3400,227.1100,227.2400,2018-10-04 14:27:00,40364
93,227.2700,227.3700,227.1800,227.1900,2018-10-04 14:26:00,77797
94,227.1800,227.2600,226.7400,227.1300,2018-10-04 14:25:00,199610
95,227.1700,227.3250,227.0300,227.3214,2018-10-04 14:24:00,105596
96,227.3100,227.4300,227.2800,227.3602,2018-10-04 14:23:00,72378
97,227.3750,227.4000,227.1200,227.2800,2018-10-04 14:22:00,152313
98,227.3700,227.4450,227.2400,227.2700,2018-10-04 14:21:00,63485
99,227.2800,227.6300,227.2000,227.5400,2018-10-04 14:20:00,119599
