log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median,period
5.214644978875241e-06,8.709757452300218e-18,0.0,37.089782419495386,37.079863157894735,37.08,01/02/1998-01/06/1998
-4.168237180151258e-05,-1.694591213129461e-05,0.0,36.185934819897035,36.272111210896576,36.29,01/07/1998-01/09/1998
3.456460477707929e-05,3.286196694645528e-05,0.0,35.60144075021322,35.58269230769231,35.69,01/12/1998-01/14/1998
4.30027638555511e-05,4.182875411565959e-06,0.0,37.047523484201726,36.84027963027967,36.84,01/15/1998-01/20/1998
-8.456525466013698e-06,4.674491892573397e-06,0.0,35.13121083827264,35.02450757575756,35.03,01/21/1998-01/23/1998
-1.9420044764910532e-05,-2.8207432514820396e-05,0.0,34.287305084745654,34.38068235294119,34.13,01/26/1998-01/28/1998
3.155923349407106e-05,-3.998240463059222e-18,0.0,34.98439655172424,34.79638897213064,34.86,01/29/1998-02/02/1998
-4.3532771632130395e-06,-8.647797472227225e-06,0.0,34.928299319727806,34.93744810744813,34.92,02/03/1998-02/05/1998
1.6766566430601654e-05,-1.031608598711637e-05,0.0,34.93462393162387,34.76332894736842,34.75,02/06/1998-02/10/1998
3.1965386465641396e-06,-4.485562552131342e-06,0.0,36.10253968253977,36.139046052631585,36.12,02/11/1998-02/13/1998
-4.75642202142031e-06,-1.1809026805362355e-17,0.0,36.38863793103486,36.403161616161626,36.38,02/17/1998-02/19/1998
-3.858770698810057e-06,-3.469909036501736e-06,0.0,36.13589721254377,36.06444444444445,36.07,02/20/1998-02/24/1998
1.5481231831309473e-05,5.420054333228852e-06,0.0,36.886572649572784,36.9834300595238,36.93,02/25/1998-02/27/1998
-7.161297295922136e-05,-7.306451855510951e-05,0.0,35.64899650959865,35.72520261437909,35.7,03/02/1998-03/04/1998
-3.375569961734154e-05,-3.254725931651432e-05,0.0,34.70997446808511,34.83741993081129,34.82,03/05/1998-03/09/1998
2.5418564852135154e-05,6.241155347795624e-05,0.0,34.66447684391085,34.77456469886698,34.75,03/10/1998-03/12/1998
1.7099735060682755e-06,1.3567639637012577e-05,0.0,35.27270598438865,35.2286054421769,35.28,03/13/1998-03/17/1998
1.1050702448466042e-05,1.0636653665131074e-05,0.0,35.95807363013666,35.919403430275935,35.96,03/18/1998-03/20/1998
3.773884854832221e-05,3.071811747118128e-05,0.0,36.53706493506496,36.32717391304349,36.32,03/23/1998-03/25/1998
-2.176119031826673e-05,-6.72850705377016e-18,0.0,36.90145017793585,36.75510077186962,36.91,03/26/1998-03/30/1998
1.5166414699516008e-05,1.5814324891421994e-05,0.0,36.87453671328666,36.70778110047847,36.78,03/31/1998-04/02/1998
-7.89515922475425e-06,1.6922291051138223e-18,0.0,37.07245349867156,37.063190476190485,37.02,04/03/1998-04/07/1998
-6.031624999724363e-06,-3.953186959917203e-05,0.0,37.188892825509214,37.08319597069597,37.22,04/08/1998-04/13/1998
2.205227771832747e-05,3.676360944184924e-05,0.0,37.8244782608698,37.56336274509804,38.03,04/14/1998-04/16/1998
8.198185301647247e-05,3.9828320409529663e-05,0.0,39.231960276338626,38.584274891774896,39.13,04/17/1998-04/21/1998
-3.924050600416282e-06,2.8245930649721307e-06,0.0,41.257904191616824,41.312804195804176,41.29,04/22/1998-04/24/1998
-4.71178471793063e-06,1.2699275051492936e-05,0.0,40.864195804195695,40.85574803149606,40.81,04/27/1998-04/29/1998
3.5911846304303914e-06,3.2043011469635865e-06,0.0,41.177337006427955,41.04895000000002,41.07,04/30/1998-05/04/1998
4.545266138846231e-06,-2.9471054104895745e-06,0.0,41.429759358288905,41.377768339768345,41.42,05/05/1998-05/07/1998
1.9665296259758657e-05,1.416197383152258e-05,0.0,42.13074265975792,42.27067073170731,42.05,05/08/1998-05/12/1998
2.799536503445997e-05,-1.0677121517586621e-17,0.0,44.079554585152856,44.078863636363636,44.28,05/13/1998-05/15/1998
