log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median,period
7.27202908664633e-06,1.2261087934887018e-05,0.0,105.63900674499565,105.84260463800905,105.8125,01/02/1998-01/06/1998
-4.134365613784907e-05,3.1155434333896244e-05,0.0,103.00434176672384,103.40767045454545,103.1875,01/07/1998-01/09/1998
3.717262544643404e-05,1.020929332742153e-05,0.0,101.25857843137256,101.578125,101.5625,01/12/1998-01/14/1998
3.6483583425469695e-05,1.4660241140961423e-05,0.0,105.20954312553373,104.8754495109321,104.875,01/15/1998-01/20/1998
-9.029718559365985e-06,-6.933097231265446e-06,0.0,99.83869602032176,99.9088794498382,99.5625,01/21/1998-01/23/1998
-1.9449483514770607e-05,1.6883593278877883e-06,0.0,97.54134004237288,97.00541125541125,97.0625,01/26/1998-01/28/1998
3.004716565517728e-05,-1.798282225506533e-05,0.0,99.48348599137931,100.6080075322812,99.1875,01/29/1998-02/02/1998
-4.794738483622215e-06,-2.4425265333935e-05,0.0,99.17854485544218,99.12877338435374,99.1875,02/03/1998-02/05/1998
1.5509976491455573e-05,-5.428062822135837e-06,0.0,99.225,98.78209675131224,98.75,02/06/1998-02/10/1998
6.4898272773611205e-06,-1.1615569858196438e-17,0.0,102.57784942680776,102.67920377438506,102.625,02/11/1998-02/13/1998
-2.620144040965106e-06,-6.6613383946839006e-06,0.0,103.24797952586206,103.33854166666666,103.25,02/17/1998-02/19/1998
-4.2425367490637424e-06,-6.960190732295336e-18,0.0,102.67617595818815,102.58039878731344,102.5,02/20/1998-02/24/1998
1.5497380244053923e-05,2.017820291303575e-05,0.0,104.70355235042734,104.79558823529412,104.8125,02/25/1998-02/27/1998
-4.460463788334181e-05,-4.3647351095363406e-18,0.0,102.25190881326353,102.08709016393442,102.125,03/02/1998-03/04/1998
-3.525894594886002e-05,-3.299836230884198e-05,0.0,98.62970744680851,99.14826388888889,99.125,03/05/1998-03/09/1998
2.4976448065037848e-05,2.058515167144899e-05,0.0,98.45923563464837,98.65505530498282,98.6875,03/10/1998-03/12/1998
-1.5916690226627475e-18,3.013282648120069e-06,0.0,100.10499783174328,99.82634943181819,100.0625,03/13/1998-03/17/1998
1.215478576859319e-05,-8.212831456577696e-18,0.0,102.14966823630137,102.19605263157895,102.1875,03/18/1998-03/20/1998
3.70578176672502e-05,2.968225619755397e-19,0.0,103.81742424242424,103.1097842835131,103.125,03/23/1998-03/25/1998
-2.2356118549491933e-05,-2.3253249170775178e-05,0.0,104.70648910142349,104.63372905027933,104.625,03/26/1998-03/30/1998
1.511615113908937e-05,-1.7502120784408857e-18,0.0,104.75445257867133,104.515625,104.5,03/31/1998-04/02/1998
-7.903691186130287e-06,-3.733721231496956e-18,0.0,105.25290633303808,105.2760806803995,105.125,04/03/1998-04/07/1998
-4.773402740459933e-06,2.7609437708717043e-06,0.0,105.60662090345438,105.25923913043479,105.5,04/08/1998-04/13/1998
2.3005445664191126e-05,4.776137453443876e-05,0.0,107.36907608695653,106.23431161257606,108.0,04/14/1998-04/16/1998
8.105042465219953e-05,3.867001492357421e-05,0.0,110.95379965457686,109.73379375114533,109.6875,04/17/1998-04/21/1998
-4.546821007915873e-06,-3.810204896400695e-06,0.0,117.09698460222413,117.1616215574549,117.125,04/22/1998-04/24/1998
-5.1894447245184255e-06,-3.271793125639621e-05,0.0,116.02029611013987,115.6904539800995,115.875,04/27/1998-04/29/1998
4.4437684325191266e-06,4.759206006914877e-18,0.0,116.99285468319559,116.6929012345679,116.625,04/30/1998-05/04/1998
3.338375786477241e-06,-3.0475248932860016e-18,0.0,117.60739750445633,117.6824483883533,117.625,05/05/1998-05/07/1998
1.9638933222828882e-05,8.065412958850468e-06,0.0,119.37473013816926,119.40839285714286,119.125,05/08/1998-05/12/1998
3.342718817723166e-05,6.938271479458997e-05,0.0,124.67068777292576,125.21875,125.4375,05/13/1998-05/15/1998
-9.333251680809689e-06,2.127430359931126e-05,0.0,125.02080439814814,124.80130507662835,125.125,05/18/1998-05/20/1998
-1.8178320418918782e-05,-1.958625645427621e-05,0.0,122.4165186500888,122.58250000000001,122.625,05/21/1998-05/26/1998
-1.369210009101276e-05,-2.719879860886045e-05,0.0,119.77809428060769,119.175,119.4375,05/27/1998-05/29/1998
-2.657821066576968e-05,-9.655119379391084e-06,0.0,116.26650219298246,116.19310726950354,116.25,06/01/1998-06/03/1998
3.540469301476525e-05,2.4300925854003816e-05,0.0,117.10106142728094,116.81928267045456,117.0625,06/04/1998-06/08/1998
-2.2982270031649593e-05,-4.549788360709719e-05,0.0,118.09464928057554,118.50427135028949,118.5,06/09/1998-06/11/1998
-4.4932347231092244e-05,-4.1368136337524496e-05,0.0,112.94728753235547,114.78652968036529,114.5,06/12/1998-06/16/1998
-3.8617847532948655e-05,-2.4540505269932257e-05,0.0,109.09769652061856,108.75372023809524,108.6875,06/17/1998-06/19/1998
4.531733748114308e-05,4.561559051949129e-05,0.0,110.15509557560138,110.93096153846153,111.0625,06/22/1998-06/24/1998
1.313289127349902e-05,1.2001789503301659e-17,0.0,113.4887351326624,113.83311370481928,113.625,06/25/1998-06/29/1998
8.47065494964075e-06,-1.2325790742228096e-05,0.0,115.69480593607305,116.13464301503095,115.875,06/30/1998-07/02/1998
7.696199982150874e-20,-9.59074560913392e-06,0.0,114.29039228723404,113.89111492161254,114.375,07/06/1998-07/08/1998
3.5534127572157986e-05,1.813588358868466e-05,0.0,118.36301100628931,118.65053925090591,118.5625,07/09/1998-07/13/1998
-1.0460765203609677e-05,-4.671710367103572e-18,0.0,118.60353506787331,119.2587890625,118.8125,07/14/1998-07/16/1998
6.6466240100637e-05,3.120105256543357e-05,0.0,123.40218321917808,121.52005328341014,121.625,07/17/1998-07/21/1998
-1.2161949543249573e-05,-3.118308421199136e-05,0.0,125.79553105994788,126.08252514367817,125.9375,07/22/1998-07/24/1998
2.7638425399664918e-05,-1.15754526062423e-18,0.0,125.69656032986111,125.31069187203428,125.75,07/27/1998-07/29/1998
2.709567894234844e-05,1.990268397156134e-05,0.0,133.3311803173242,133.6100543478261,133.5,07/30/1998-08/03/1998
-2.7267578599756094e-05,-1.6754969974198962e-05,0.0,129.12674344885883,129.24124396135267,129.375,08/04/1998-08/06/1998
-2.1700506590959895e-05,-2.811682707687676e-05,0.0,129.28032769097223,129.54224668560607,129.375,08/07/1998-08/11/1998
-2.311861902675612e-05,-3.274730117600058e-05,0.0,126.97771739130435,126.69308035714286,126.75,08/12/1998-08/14/1998
3.3576804255205915e-05,1.8624152462618458e-05,0.0,127.88927777777778,128.34275573436923,128.4375,08/17/1998-08/19/1998
-6.4584122012602e-06,-2.1382440167889994e-05,0.0,127.7840253108348,127.84203869047619,127.875,08/20/1998-08/24/1998
-2.63119062822338e-05,-5.948746275661692e-05,0.0,128.53750539257982,127.80138807572209,129.1875,08/25/1998-08/27/1998
-5.106699222088842e-05,-1.679033673706144e-05,0.0,119.21538379983036,118.28828125,118.75,08/28/1998-09/01/1998
-1.1635754557525931e-05,-3.7804626821144176e-05,0.0,120.83824161650902,120.70642645719491,120.8125,09/02/1998-09/04/1998
-1.6926617075457644e-05,-3.4855937557125175e-05,0.0,123.32556330472103,123.09583333333333,123.3125,09/08/1998-09/10/1998
5.8746656490247787e-05,2.340748498848613e-05,0.0,127.68419759825328,129.31842037890425,129.125,09/11/1998-09/15/1998
-3.7117321609519713e-05,-2.9108301455486573e-05,0.0,127.3209980451781,126.35526315789474,127.3125,09/16/1998-09/18/1998
8.26722758165957e-05,9.480544141498041e-05,0.0,127.68600152571926,128.75199468085106,128.8125,09/21/1998-09/23/1998
1.363308104163905e-05,7.87144114345589e-06,0.0,133.08436405429072,133.4586230847636,133.125,09/24/1998-09/28/1998
-5.682173944992402e-05,-3.5590602208711706e-05,0.0,128.72434701492537,129.2421875,129.4375,09/29/1998-10/01/1998
-3.401272716204153e-05,1.0896095833125227e-05,0.0,120.89962362171332,120.44277108433735,120.625,10/02/1998-10/06/1998
5.344162246030403e-05,2.8438989748688105e-05,0.0,121.74910413153457,123.46205357142857,121.0625,10/07/1998-10/09/1998
2.46167649924237e-06,4.7170037389793875e-06,0.0,130.1409455128205,130.6552734375,130.25,10/12/1998-10/14/1998
5.87626090791579e-05,3.297788319249828e-05,0.0,135.67548482293424,135.71614583333331,135.84375,10/15/1998-10/19/1998
7.205646599295713e-06,8.559686081065923e-05,0.0,141.17744006849315,141.09709696448567,141.125,10/20/1998-10/22/1998
1.803978851369175e-05,1.3651553759737062e-05,0.0,143.38748879928315,143.94241240530303,143.125,10/23/1998-10/27/1998
2.2541153221579914e-05,3.271504452537773e-05,0.0,147.55209220613287,147.86119791666667,147.9375,10/28/1998-10/30/1998
