log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median,period
-4.252043380350138e-07,-1.6295451586836365e-07,0.0,42.33877459329919,42.4727449524536,42.52,02/17/2010-02/23/2010
-1.8024564090006878e-07,1.955314596868891e-07,0.0,39.375905381139084,39.43156298613819,39.2299,02/24/2010-03/02/2010
-1.833640457964122e-07,-3.6401828034086825e-08,0.0,39.03487293289959,39.230174503301356,39.14,03/03/2010-03/09/2010
-9.830993797891255e-09,-2.3930854850315628e-08,0.0,38.02590000818699,38.32578559324849,38.23,03/10/2010-03/16/2010
4.49417046621496e-07,8.602194572934746e-07,0.0,39.96442152833233,39.7430708346182,39.69,03/17/2010-03/23/2010
-3.600745132032031e-07,-3.088084904350048e-07,0.0,40.37620166795113,39.93579900255059,39.97,03/24/2010-03/30/2010
3.5059355682694556e-07,5.681090879827055e-07,0.0,40.004255034108006,39.538311934665586,40.18,03/31/2010-04/07/2010
2.131124953366493e-07,-5.4092928907787534e-08,0.0,40.978487851429435,40.93809868053687,40.97,04/08/2010-04/14/2010
-1.462023393320132e-07,-2.464846795485552e-07,0.0,40.313496955737364,40.02014070943102,40.19,04/15/2010-04/21/2010
3.063758040840319e-07,4.3302834624799583e-07,0.0,42.99750211268766,44.03964547953783,43.5,04/22/2010-04/28/2010
-5.39900152008051e-07,-8.270670026930814e-07,0.0,41.37605682754451,41.36771139200927,41.25,04/29/2010-05/05/2010
-3.8271294577381175e-09,-3.1249922064309256e-07,0.0,39.29822302157692,39.573770402176734,39.36,05/06/2010-05/12/2010
-7.355874788322251e-07,-4.786647708254262e-07,0.0,37.72829432716964,37.57036156878148,37.73,05/13/2010-05/19/2010
-2.233436858592805e-07,-1.699313326376159e-07,0.0,35.126915210679584,35.2039274057171,35.23,05/20/2010-05/26/2010
2.4422790182270613e-07,1.266782180162298e-07,0.0,35.21637736952336,35.77234956185838,35.13,05/27/2010-06/03/2010
-2.5583798530629626e-07,-2.8529808099673084e-07,0.0,33.97240744994125,33.885730306166636,33.88,06/04/2010-06/10/2010
2.1832504951552234e-07,1.545986288563451e-07,0.0,34.86823754296268,34.99359862080621,35.01,06/11/2010-06/17/2010
-8.520672047232102e-07,-9.341906878682686e-07,0.0,33.3891067147992,33.57147014735286,33.4995,06/18/2010-06/24/2010
-1.1087445674499244e-07,-1.1443118959761986e-07,0.0,31.07826230617592,31.247818253544033,31.05,06/25/2010-07/01/2010
2.2962325765661282e-07,2.224353557813543e-07,0.0,30.821284625291824,30.62596111071377,30.82,07/02/2010-07/09/2010
3.2260081502481e-08,-1.4353974353260452e-07,0.0,32.07886499023173,32.49599302770645,32.04,07/12/2010-07/16/2010
-5.880118517723359e-07,-7.527510957177386e-07,0.0,29.309778893588827,28.668914797325172,28.75,07/19/2010-07/23/2010
-3.2712616420416877e-07,-4.963551675361214e-07,0.0,27.771907127805946,27.424555409461625,28.0,07/26/2010-07/30/2010
-8.775651227304951e-08,-6.929023822414954e-08,0.0,26.83288220826101,26.767568776820305,26.87,08/02/2010-08/06/2010
-3.376144907859208e-07,2.5652393353726553e-07,0.0,24.743104509758965,24.801216040661465,24.64,08/09/2010-08/13/2010
1.676970007112743e-07,-4.667087887001371e-09,0.0,24.42062220254953,24.407774307506372,24.41,08/16/2010-08/20/2010
1.5913179517530437e-07,-4.366221227871814e-08,0.0,24.1655749506225,23.97978769916785,24.0161,08/23/2010-08/27/2010
3.3359481024352006e-07,-1.077300069727873e-07,0.0,25.387706516654795,25.293419810800927,25.36,08/30/2010-09/03/2010
1.652222931972131e-07,5.5045953018940064e-08,0.0,26.052184881095517,26.117569714352676,26.0795,09/07/2010-09/13/2010
1.0388958243288495e-07,-3.1452149229306967e-08,0.0,26.859442326501224,26.812807989498697,26.82,09/14/2010-09/20/2010
