day,log_return_mean,log_return_mean_median,log_return_median,mean,mean_median,median
10/1/2017,7.41E-05,0.000243178,9.36E-06,4290.499375,4287.475,4289.975
10/2/2017,3.30E-05,4.83E-05,0.000142544,4394.992292,4389.55125,4390.59
10/3/2017,-0.000133291,-2.81E-05,0.000118381,4312.572778,4288.2695,4291.155
10/4/2017,-0.000165186,1.07E-05,2.38E-06,4250.100694,4222.838125,4226.065
10/5/2017,0.000152034,0.000263874,0.000109294,4255.854965,4299.765,4249.2
10/6/2017,0.000105804,-8.03E-05,9.73E-05,4358.767708,4353.216,4357.795
10/7/2017,0.000123967,0.000118559,0,4351.353681,4347.561643,4344.945
10/8/2017,0.000257422,8.84E-05,0.000193364,4495.136806,4457.396833,4460
10/9/2017,0.000259853,0.000452149,6.47E-05,4643.358671,4602.145,4606.86
10/10/2017,-5.41E-05,5.99E-05,2.70E-05,4811.340486,4805.106,4809.29
10/11/2017,0.000102493,-4.47E-05,-5.47E-05,4786.163542,4767.768929,4787.17
10/12/2017,0.000812045,0.000629648,0.000598276,5112.331458,5181.377649,5189.995
10/13/2017,0.000263178,-0.000193316,0.000338335,5616.485278,5617.933333,5627.99
10/14/2017,0.000187865,4.98E-05,0.000135265,5664.776111,5674.50625,5674.145
10/15/2017,-0.000145367,-1.84E-05,-0.000276377,5611.169375,5517.828333,5537.91
10/16/2017,9.09E-05,5.23E-05,7.02E-06,5673.80875,5675.980833,5682.08
10/17/2017,-0.000197883,-0.000202236,-4.67E-05,5625.701736,5612.893889,5625.315
10/18/2017,6.50E-07,-0.000427365,-0.000472858,5402.045903,5400.115313,5400.625
10/19/2017,0.000161003,0.000344554,0,5652.797778,5645.825,5651.555
10/20/2017,0.000358718,0.000439631,0.000167845,5787.336458,5684.095857,5698.295
10/21/2017,4.25E-05,0.000266533,0.000629707,6073.079444,6079.272222,6078.895
10/22/2017,-3.46E-05,-0.000308322,0.000272727,5909.310486,5921.075833,5908.985
10/23/2017,-0.00011507,-0.000178896,-0.000131356,5869.277292,5851.6825,5866.16
10/24/2017,-0.000451047,-0.000954292,-0.000422595,5660.556181,5668.63875,5669.98
10/25/2017,0.000279325,0.000210941,0.000143128,5547.114306,5520.233013,5532.73
10/26/2017,0.000181732,-7.68E-06,-3.36E-06,5827.113542,5865.56625,5835.535
10/27/2017,-0.000166438,-2.20E-05,0,5823.03,5800.423824,5819.51
10/28/2017,-5.15E-05,3.94E-05,9.32E-05,5750.483819,5727.833,5746.66
10/29/2017,0.00054209,-0.000185795,0.000304716,5881.6375,5892.391667,5816.635
10/30/2017,5.14E-06,-1.04E-05,6.37E-05,6123.120139,6128.126731,6123.805
10/31/2017,0.000356462,0.000109602,0.00014003,6243.826277,6214.036667,6208.49
11/1/2017,0.000324669,0.000691422,0.000494258,6501.750903,6517.125417,6524.725
11/2/2017,0.000278415,0.000311633,0.000426306,6952.818958,6947.136692,6949.945
11/3/2017,0.000170569,-3.88E-05,0.000437669,7240.359028,7281.948393,7262.915
11/4/2017,0.000188059,-3.08E-06,0.000210236,7256.746944,7278.0475,7212.45
11/5/2017,-6.46E-06,0.000319786,0.000343387,7458.704097,7514.029286,7450.21
11/6/2017,-0.000382731,-0.000152435,-0.000216778,7229.483264,7277.14,7273.88
